,name,link,address,city,state,ratings,zipcode,3 BEDS,4 BEDS,2 BEDS,5 BEDS
21,"12106 Sawtry Court Pineville, NC 28134",https://www.rentcafe.com/apartments/nc/pineville/12106-sawtry-court-pineville-nc-281340/default.aspx,12106 Sawtry Court,Pineville,NC,4.00,28134,"$2,145","$1,795",$925,
22,"505 Payne Court High Point, NC 27265",https://www.rentcafe.com/apartments/nc/high-point/505-payne-court-high-point-nc-27265/default.aspx,505 Payne Court,High Point,NC,4.00,27265,"$1,745","$1,795",$925,
23,"2549 Old Ashworth Lane NW Concord, NC 28027",https://www.rentcafe.com/apartments/nc/concord/2549-old-ashworth-lane-nw-concord-nc-28027/default.aspx,2549 Old Ashworth Lane NW,Concord,NC,4.00,28027,"$2,645","$1,795",$925,
24,Leisure Time Lane Apts,https://www.rentcafe.com/apartments/nc/winston-salem/leisure-time-lane-apts/default.aspx,Leisure Time Lane Apts,Winston-Salem,NC,4.00,27107,"$2,645","$1,795",$925,
25,51B,https://www.rentcafe.com/apartments/nc/durham/200-51b-woodcroft-parkway0/default.aspx,200-51B Woodcroft Parkway,Durham,NC,4.00,27713,"$2,645","$1,795",$925,
26,"815 Peachtree Meadows Circle Kernersville, NC 27284",https://www.rentcafe.com/apartments/nc/kernersville/815-peachtree-meadows-circle-kernersville-nc-27284/default.aspx,815 Peachtree Meadows Circle,Kernersville,NC,4.00,27284,"$2,645","$2,045",$925,
27,"108 Valentine Court Greensboro, NC 27405",https://www.rentcafe.com/apartments/nc/greensboro/108-valentine-court-greensboro-nc-27405-0/default.aspx,108 Valentine Court,Greensboro,NC,4.00,27405,"$2,645","$2,245",$925,
28,"2655 Idared Drive Dallas, NC 28034",https://www.rentcafe.com/apartments/nc/dallas/2655-idared-drive-dallas-nc-28034/default.aspx,2655 Idared Drive,Dallas,NC,4.00,28034,"$2,645","$2,245",$925,"$2,495"
29,"302 N Great White Way Clayton, NC 27527",https://www.rentcafe.com/apartments/nc/clayton/302-n-great-white-way-clayton-nc-27527/default.aspx,302 N Great White Way,Clayton,NC,4.00,27527,"$2,145","$2,245",$925,"$2,495"
30,"1112 W Market St, LLC",https://www.rentcafe.com/apartments/nc/greensboro/1112-w-market-st-llc/default.aspx,1112 W Market St,Greensboro,NC,4.00,27403,"$2,145","$2,245",$925,"$2,495"
31,"3617 Epperly Court Raleigh, NC 27616",https://www.rentcafe.com/apartments/nc/raleigh/3617-epperly-court-raleigh-nc-27616/default.aspx,3617 Epperly Court,Raleigh,NC,4.00,27616,"$1,995","$2,245",$925,"$2,495"
32,"13313 Harvest Point Drive Huntersville, NC 28078",https://www.rentcafe.com/apartments/nc/huntersville/13313-harvest-point-drive-huntersville-nc-28078-0/default.aspx,13313 Harvest Point Drive,Huntersville,NC,4.00,28078,"$1,995","$2,185",$925,"$2,495"
33,"1765 Pinnacle Oaks Drive Rural Hall, NC 27045",https://www.rentcafe.com/apartments/nc/rural-hall/1765-pinnacle-oaks-drive-rural-hall-nc-27045-0/default.aspx,1765 Pinnacle Oaks Drive,Rural Hall,NC,4.00,27045,"$1,995","$1,965",$925,"$2,495"
34,"4821 Abendego Road Charlotte, NC 28213",https://www.rentcafe.com/apartments/nc/charlotte/4821-abendego-road-charlotte-nc-28213/default.aspx,4821 Abendego Road,Charlotte,NC,4.00,28213,"$1,995","$2,725",$925,"$2,495"
35,96B,https://www.rentcafe.com/apartments/nc/durham/5500-96b-fortunes-ridge0/default.aspx,5500-96B Fortunes Ridge,Durham,NC,4.00,27713,"$1,995","$2,725",$925,"$2,495"
36,"4169 Shadetree Drive Winston-Salem, NC 27107",https://www.rentcafe.com/apartments/nc/winston-salem/4169-shadetree-drive-winston-salem-nc-27107-0/default.aspx,4169 Shadetree Drive,Winston-Salem,NC,4.00,27107,"$1,895","$2,725",$925,"$2,495"
37,"130 Fir Drive Winston Salem, NC 27107",https://www.rentcafe.com/apartments/nc/winston-salem/130-fir-drive-winston-salem-nc-27107/default.aspx,130 Fir Drive,Winston Salem,NC,4.00,27107,"$1,725","$2,725",$925,"$2,495"
38,"115 Bosburg Drive Mooresville, NC 28115",https://www.rentcafe.com/apartments/nc/mooresville/115-bosburg-drive-mooresville-nc-28115/default.aspx,115 Bosburg Drive,Mooresville,NC,4.00,28115,"$1,895","$2,725",$925,"$2,495"
39,1116 Millbrook Road,https://www.rentcafe.com/apartments/nc/raleigh/1116-millbrook-road/default.aspx,1116 Millbrook Road,Raleigh,NC,4.00,27609,"$1,895","$2,000",$925,"$2,495"
40,"1941 Summit Ridge Lane Kannapolis, NC 28083",https://www.rentcafe.com/apartments/nc/kannapolis/1941-summit-ridge-lane-kannapolis-nc-28083/default.aspx,1941 Summit Ridge Lane,Kannapolis,NC,4.00,28083,"$1,895","$1,785",$925,"$2,495"
41,Athens Drive,https://www.rentcafe.com/apartments/nc/raleigh/athens-drive/default.aspx,"850, 852, 854 Athens Drive",Raleigh,NC,4.00,27608,"$1,895","$1,785",$925,"$2,495"
42,"3596 Catawba Creek Drive Gastonia, NC 28056",https://www.rentcafe.com/apartments/nc/gastonia/3596-catawba-creek-drive-gastonia-nc-28056/default.aspx,3596 Catawba Creek Drive,Gastonia,NC,4.00,28056,"$1,895","$2,045",$925,"$2,495"
43,"4526 Esmeralda Drive Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/4526-esmeralda-drive-charlotte-nc-28269-0/default.aspx,4526 Esmeralda Drive,Charlotte,NC,4.00,28269,"$1,725","$2,045",$925,"$2,495"
44,"6219 Bridlewood Lane Charlotte, NC 28215",https://www.rentcafe.com/apartments/nc/charlotte/6219-bridlewood-lane-charlotte-nc-28215/default.aspx,6219 Bridlewood Lane,Charlotte,NC,4.00,28215,"$1,745","$2,045",$925,"$2,495"
45,3031 Courtney Creek,https://www.rentcafe.com/apartments/nc/durham/3031-courtney-creek/default.aspx,3031 Courtney Creek,Durham,NC,4.00,27703,"$1,980","$2,045",$925,"$2,495"
46,"2732 Fairstone Avenue Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/2732-fairstone-avenue-charlotte-nc-28269/default.aspx,2732 Fairstone Avenue,Charlotte,NC,4.00,28269,"$1,825","$2,045",$925,"$2,495"
47,"152 Double Spring Lane Lexington, NC 27295",https://www.rentcafe.com/apartments/nc/lexington/152-double-spring-lane-lexington-nc-27295/default.aspx,152 Double Spring Lane,Lexington,NC,4.00,27295,"$1,795","$2,045",$925,"$2,495"
48,"732 Breeders Cup Dr Whitsett, NC 27377",https://www.rentcafe.com/apartments/nc/whitsett/732-breeders-cup-dr-whitsett-nc-27377-0/default.aspx,732 Breeders Cup Dr,Whitsett,NC,4.00,27377,"$1,795","$2,295",$925,"$2,495"
49,3823 Glenhaven Road,https://www.rentcafe.com/apartments/nc/raleigh/3823-glenhaven-road/default.aspx,3823 Glenhaven Road,Raleigh,NC,4.00,27606,"$1,795","$2,295",$925,"$2,495"
50,"7008 Hidden Creek Drive Charlotte, NC 28214",https://www.rentcafe.com/apartments/nc/charlotte/7008-hidden-creek-drive-charlotte-nc-28214-0/default.aspx,"7008 Hidden Creek Drive,",Charlotte,NC,4.00,28214,"$1,752","$2,295",$925,"$2,495"
51,Still Meadow Village I,https://www.rentcafe.com/apartments/nc/wilmington/still-meadow-village-i/default.aspx,"4632 Still Meadow Dr.,",Wilmington,NC,4.00,28412,"$1,752","$2,295",$925,"$2,495"
52,"1809 Larkhill Court Kernersville, NC 27284",https://www.rentcafe.com/apartments/nc/kernersville/1809-larkhill-court-kernersville-nc-27284/default.aspx,"1809 Larkhill Court,",Kernersville,NC,4.00,27284,"$2,195","$2,295",$925,"$2,495"
53,"4215 Greenfield Circle Northwest Concord, NC 28027",https://www.rentcafe.com/apartments/nc/concord/4215-greenfield-circle-northwest-concord-nc-28027/default.aspx,"4215 Greenfield Circle Northwest,",Concord,NC,4.00,28027,"$2,195","$2,995",$925,"$2,495"
54,Creekside Apartments,https://www.rentcafe.com/apartments/nc/pittsboro/creekside-apartments11/default.aspx,"25 Creekside Circle,",Pittsboro,NC,4.00,27312,"$2,195","$2,995",$925,"$2,495"
55,Still Meadow Village II,https://www.rentcafe.com/apartments/nc/wilmington/still-meadow-village-ii/default.aspx,"4632 Still Meadow Dr.,",Wilmington,NC,4.00,28412,"$2,195","$2,995",$925,"$2,495"
56,"6804 Jamison Lane Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/6804-jamison-lane-charlotte-nc-28269/default.aspx,"6804 Jamison Lane,",Charlotte,NC,4.00,28269,"$2,195","$2,095",$925,"$2,495"
57,4712-A Hollowell Lane,https://www.rentcafe.com/apartments/nc/raleigh/4712-a-hollowell-lane0/default.aspx,"4712-A Hollowell Lane,",Raleigh,NC,4.00,27604,"$2,195","$2,095",$925,"$2,495"
58,Country Club Townhomes,https://www.rentcafe.com/apartments/nc/morehead-city/country-club-townhomes-0/default.aspx,"4600 Country Club Rd Apt 104H,",Morehead City,NC,4.00,28557,"$2,195","$2,095",$925,"$2,495"
59,"6105 Creft Circle Indian Trail, NC 28079",https://www.rentcafe.com/apartments/nc/indian-trail/6105-creft-circle-indian-trail-nc-28079-0/default.aspx,"6105 Creft Circle,",Indian Trail,NC,4.00,28079,"$2,245","$2,095",$925,"$2,495"
60,"138 Marsh Creek Drive Garner, NC 27529",https://www.rentcafe.com/apartments/nc/garner/138-marsh-creek-drive-garner-nc-27529-0/default.aspx,"138 Marsh Creek Drive,",Garner,NC,4.00,27529,"$2,245","$2,295",$925,"$2,495"
61,"7052 Avenbury Circle Kernersville, NC 27284",https://www.rentcafe.com/apartments/nc/kernersville/7052-avenbury-circle-kernersville-nc-27284/default.aspx,"7052 Avenbury Circle,",Kernersville,NC,4.00,27284,"$2,245","$1,995",$925,"$2,495"
62,"10018 Mountain Apple Drive Mint Hill, NC 28227",https://www.rentcafe.com/apartments/nc/mint-hill/10018-mountain-apple-drive-mint-hill-nc-28227/default.aspx,"10018 Mountain Apple Drive,",Mint Hill,NC,4.00,28227,"$1,895","$1,995",$925,"$2,495"
63,Mill Cove,https://www.rentcafe.com/apartments/nc/raleigh/mill-cove0/default.aspx,"6401 Mill Cove Drive,",Raleigh,NC,4.00,27617,"$1,895","$1,995",$925,"$2,495"
64,"3993 Appleton Rd Greensboro, NC 27405",https://www.rentcafe.com/apartments/nc/greensboro/3993-appleton-rd-greensboro-nc-27405-0/default.aspx,"3993 Appleton Rd,",Greensboro,NC,4.00,27405,"$1,695","$1,995",$925,"$2,495"
65,"633 Cambridge Farm Court Winston-Salem, NC 27284",https://www.rentcafe.com/apartments/nc/winston-salem/633-cambridge-farm-court-winston-salem-nc-27284/default.aspx,"633 Cambridge Farm Court,",Winston-Salem,NC,4.00,27284,"$1,695","$1,795",$925,"$2,495"
66,"3361 Wiliton Way High Point, NC 27260",https://www.rentcafe.com/apartments/nc/high-point/3361-wiliton-way-high-point-nc-27260/default.aspx,"3361 Wiliton Way,",High Point,NC,4.00,27260,"$1,695","$1,795",$925,"$2,495"
67,Campus Walk Apartments,https://www.rentcafe.com/apartments/nc/greenville/campus-walk-at-east-carolina/default.aspx,"810 Cotanche Street,",Greenville,NC,4.00,27858,"$1,695","$1,795",$925,"$2,495"
68,917 Wade Avenue,https://www.rentcafe.com/apartments/nc/garner/917-wade-avenue/default.aspx,"917 Wade Avenue,",Garner,NC,4.00,27529,"$1,695","$1,795",$925,"$2,495"
69,Vista Court Condo,https://www.rentcafe.com/apartments/nc/winston-salem/vista-court-condo3/default.aspx,"420-B Vista Court,",Winston-Salem,NC,4.00,27106,"$1,695","$1,795",$925,"$2,495"
70,"615 Frank Street Kannapolis, NC 28081",https://www.rentcafe.com/apartments/nc/kannapolis/615-frank-street-kannapolis-nc-28081/default.aspx,"615 Frank Street,",Kannapolis,NC,4.00,28081,"$1,825","$1,795",$925,"$2,495"
71,"12106 Sawtry Court Pineville, NC 28134",https://www.rentcafe.com/apartments/nc/pineville/12106-sawtry-court-pineville-nc-281340/default.aspx,"12106 Sawtry Court,",Pineville,NC,4.00,28134,"$2,145","$1,795",$925,"$2,495"
72,"505 Payne Court High Point, NC 27265",https://www.rentcafe.com/apartments/nc/high-point/505-payne-court-high-point-nc-27265/default.aspx,"505 Payne Court,",High Point,NC,4.00,27265,"$1,745","$1,795",$925,"$2,495"
73,"2549 Old Ashworth Lane NW Concord, NC 28027",https://www.rentcafe.com/apartments/nc/concord/2549-old-ashworth-lane-nw-concord-nc-28027/default.aspx,"2549 Old Ashworth Lane NW,",Concord,NC,4.00,28027,"$2,645","$1,795",$925,"$2,495"
74,Leisure Time Lane Apts,https://www.rentcafe.com/apartments/nc/winston-salem/leisure-time-lane-apts/default.aspx,"Leisure Time Lane Apts,",Winston-Salem,NC,4.00,27107,"$2,645","$1,795",$925,"$2,495"
75,51B,https://www.rentcafe.com/apartments/nc/durham/200-51b-woodcroft-parkway0/default.aspx,"200-51B Woodcroft Parkway,",Durham,NC,4.00,27713,"$2,645","$1,795",$925,"$2,495"
76,"815 Peachtree Meadows Circle Kernersville, NC 27284",https://www.rentcafe.com/apartments/nc/kernersville/815-peachtree-meadows-circle-kernersville-nc-27284/default.aspx,"815 Peachtree Meadows Circle,",Kernersville,NC,4.00,27284,"$2,645","$2,045",$925,"$2,495"
77,"108 Valentine Court Greensboro, NC 27405",https://www.rentcafe.com/apartments/nc/greensboro/108-valentine-court-greensboro-nc-27405-0/default.aspx,"108 Valentine Court,",Greensboro,NC,4.00,27405,"$2,645","$2,245",$925,"$2,495"
78,"2655 Idared Drive Dallas, NC 28034",https://www.rentcafe.com/apartments/nc/dallas/2655-idared-drive-dallas-nc-28034/default.aspx,"2655 Idared Drive,",Dallas,NC,4.00,28034,"$2,645","$2,245",$925,"$2,495"
79,"302 N Great White Way Clayton, NC 27527",https://www.rentcafe.com/apartments/nc/clayton/302-n-great-white-way-clayton-nc-27527/default.aspx,"302 N Great White Way,",Clayton,NC,4.00,27527,"$2,145","$2,245",$925,"$2,495"
80,"1112 W Market St, LLC",https://www.rentcafe.com/apartments/nc/greensboro/1112-w-market-st-llc/default.aspx,"1112 W Market St,",Greensboro,NC,4.00,27403,"$2,145","$2,245",$925,"$2,495"
81,"3617 Epperly Court Raleigh, NC 27616",https://www.rentcafe.com/apartments/nc/raleigh/3617-epperly-court-raleigh-nc-27616/default.aspx,"3617 Epperly Court,",Raleigh,NC,4.00,27616,"$1,995","$2,245",$925,"$2,495"
82,"13313 Harvest Point Drive Huntersville, NC 28078",https://www.rentcafe.com/apartments/nc/huntersville/13313-harvest-point-drive-huntersville-nc-28078-0/default.aspx,"13313 Harvest Point Drive,",Huntersville,NC,4.00,28078,"$1,995","$2,185",$925,"$2,495"
83,"1765 Pinnacle Oaks Drive Rural Hall, NC 27045",https://www.rentcafe.com/apartments/nc/rural-hall/1765-pinnacle-oaks-drive-rural-hall-nc-27045-0/default.aspx,"1765 Pinnacle Oaks Drive,",Rural Hall,NC,4.00,27045,"$1,995","$1,965",$925,"$2,495"
84,"4821 Abendego Road Charlotte, NC 28213",https://www.rentcafe.com/apartments/nc/charlotte/4821-abendego-road-charlotte-nc-28213/default.aspx,"4821 Abendego Road,",Charlotte,NC,4.00,28213,"$1,995","$2,725",$925,"$2,495"
85,96B,https://www.rentcafe.com/apartments/nc/durham/5500-96b-fortunes-ridge0/default.aspx,"5500-96B Fortunes Ridge,",Durham,NC,4.00,27713,"$1,995","$2,725",$925,"$2,495"
86,"4169 Shadetree Drive Winston-Salem, NC 27107",https://www.rentcafe.com/apartments/nc/winston-salem/4169-shadetree-drive-winston-salem-nc-27107-0/default.aspx,"4169 Shadetree Drive,",Winston-Salem,NC,4.00,27107,"$1,895","$2,725",$925,"$2,495"
87,"130 Fir Drive Winston Salem, NC 27107",https://www.rentcafe.com/apartments/nc/winston-salem/130-fir-drive-winston-salem-nc-27107/default.aspx,"130 Fir Drive,",Winston Salem,NC,4.00,27107,"$1,725","$2,725",$925,"$2,495"
88,"115 Bosburg Drive Mooresville, NC 28115",https://www.rentcafe.com/apartments/nc/mooresville/115-bosburg-drive-mooresville-nc-28115/default.aspx,"115 Bosburg Drive,",Mooresville,NC,4.00,28115,"$1,895","$2,725",$925,"$2,495"
89,1116 Millbrook Road,https://www.rentcafe.com/apartments/nc/raleigh/1116-millbrook-road/default.aspx,"1116 Millbrook Road,",Raleigh,NC,4.00,27609,"$1,895","$2,000",$925,"$2,495"
90,"1941 Summit Ridge Lane Kannapolis, NC 28083",https://www.rentcafe.com/apartments/nc/kannapolis/1941-summit-ridge-lane-kannapolis-nc-28083/default.aspx,"1941 Summit Ridge Lane,",Kannapolis,NC,4.00,28083,"$1,895","$1,785",$925,"$2,495"
91,Athens Drive,https://www.rentcafe.com/apartments/nc/raleigh/athens-drive/default.aspx,"850, 852, 854 Athens Drive,",Raleigh,NC,4.00,27608,"$1,895","$1,785",$925,"$2,495"
92,"3596 Catawba Creek Drive Gastonia, NC 28056",https://www.rentcafe.com/apartments/nc/gastonia/3596-catawba-creek-drive-gastonia-nc-28056/default.aspx,"3596 Catawba Creek Drive,",Gastonia,NC,4.00,28056,"$1,895","$2,045",$925,"$2,495"
93,"4526 Esmeralda Drive Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/4526-esmeralda-drive-charlotte-nc-28269-0/default.aspx,"4526 Esmeralda Drive,",Charlotte,NC,4.00,28269,"$1,725","$2,045",$925,"$2,495"
94,"6219 Bridlewood Lane Charlotte, NC 28215",https://www.rentcafe.com/apartments/nc/charlotte/6219-bridlewood-lane-charlotte-nc-28215/default.aspx,"6219 Bridlewood Lane,",Charlotte,NC,4.00,28215,"$1,745","$2,045",$925,"$2,495"
95,3031 Courtney Creek,https://www.rentcafe.com/apartments/nc/durham/3031-courtney-creek/default.aspx,"3031 Courtney Creek,",Durham,NC,4.00,27703,"$1,980","$2,045",$925,"$2,495"
96,"2732 Fairstone Avenue Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/2732-fairstone-avenue-charlotte-nc-28269/default.aspx,"2732 Fairstone Avenue,",Charlotte,NC,4.00,28269,"$1,825","$2,045",$925,"$2,495"
97,"152 Double Spring Lane Lexington, NC 27295",https://www.rentcafe.com/apartments/nc/lexington/152-double-spring-lane-lexington-nc-27295/default.aspx,"152 Double Spring Lane,",Lexington,NC,4.00,27295,"$1,795","$2,045",$925,"$2,495"
98,"732 Breeders Cup Dr Whitsett, NC 27377",https://www.rentcafe.com/apartments/nc/whitsett/732-breeders-cup-dr-whitsett-nc-27377-0/default.aspx,"732 Breeders Cup Dr,",Whitsett,NC,4.00,27377,"$1,795","$2,295",$925,"$2,495"
99,3823 Glenhaven Road,https://www.rentcafe.com/apartments/nc/raleigh/3823-glenhaven-road/default.aspx,"3823 Glenhaven Road,",Raleigh,NC,4.00,27606,"$1,795","$2,295",$925,"$2,495"
